LENS	TYPE	DESIGN	QTY
55/1.2 S Auto Nikon	F	prime	20533
55/1.2 S.C Auto	C	prime	50556
55/2.8 Micro	Ai-S	prime	3457
55/2.8 Micro	AF	prime	40563
55/2.8 Micro	Ai-S	prime	572255
55/3.5 Micro	Ai	prime	165496
55/3.5 Micro	K	prime	72641
55/3.5 Micro Auto NKJ	F	prime	72561
55/3.5 Micro-P Auto NKJ	F	prime	20111
55/3.5 Micro-P Auto Nikon	F	prime	98347
55/3.5 Micro-P.C Auto	C	prime	81928
58/1.2 Noct	Ai	prime	2462
58/1.2 Noct	Ai-S	prime	8951
58/1.2 Noct	K,Ai	prime	2
5cm/1.4 S Auto NKJ	F	prime	1
5cm/2 S Auto NKJ	F	prime	2
5cm/2 S Auto NKJ	F	prime	64294
6.2/5.6 Fish-eye 220° NKJ	F	prime	5
6/2.8 Fisheye	Ai-S	prime	435
6/2.8 Fisheye Auto Nikon	Ai	prime	118
6/2.8 Fisheye Auto Nikon	F	prime	29
6/5.6 Fisheye 220° NKJ	F	prime	82
6/5.6 Fisheye 220° Nikon	F	prime	109
60/2.8 D Micro	AF	prime	288842
60/2.8 G Micro IF-ED [N]	AF-S	prime	47043
60/2.8 Micro	AF	prime	255807
600/4 D IF-ED	AF-I	prime	1237
600/4 D IF-ED	AF-S	prime	2411
600/4 D IF-ED II	AF-S	prime	2304
600/4 G IF-ED VR [N]	AF-S	prime	3331
600/4 IF-ED New	Ai-S	prime	2487
600/4 Nikkor*ED IF	Ai	prime	1179
600/4 Nikkor*ED IF	Ai-S	prime	982
600/5.6 IF-ED New	Ai-S	prime	2740
600/5.6 Nikkor*ED	K	prime	181
600/5.6 Nikkor*ED IF	Ai	prime	1513
600/5.6 Nikkor*ED IF	Ai-S	prime	1147
600/5.6 Nikkor*ED IF	K	prime	23
600/5.6 P Auto NKJ	F	prime	1148
600/5.6 P Auto Nikon	F	prime	754
600/5.6 P.C Auto	C	prime	885
7.5/5.6 Fisheye NKJ	F	prime	2212
70-180/4.5-5.6 D ED Micro	AF	zoom	18487
70-200/2.8 G IF-ED VR	AF-S	zoom	270705
70-200/2.8 G IF-ED VR II	AF-S	zoom	51392
70-210/4	AF	zoom	221310
70-210/4-5.6	AF	zoom	588125
70-210/4-5.6 D	AF	zoom	171324
70-210/4.5-5.6 Zoom	Ai-S	zoom	26369
70-210/4 Series E Zoom	E	zoom	184365
70-300/4-5.6 D	AF	zoom	7872
